Trajectories
200
,,Flo:lshoulder,,,Flo:rshoulder,,,Flo:elbow,,,Flo:wrist,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
152,0,-154.896,119.989,63.9369,219.077,103.723,14.8692,528.825,199.847,4.49025,788.81,212.348,15.2829
153,0,-154.89,120.01,63.9116,219.13,103.719,14.8457,528.841,199.904,4.49579,788.809,212.344,15.2856
154,0,-154.891,120.038,63.9104,219.079,103.722,14.8689,528.859,199.899,4.52786,788.808,212.359,15.2383
155,0,-154.885,120.064,63.9289,219.06,103.716,14.9098,528.837,199.884,4.47425,788.81,212.362,15.2152
156,0,-154.903,120.057,64.0007,219.062,103.745,14.9134,528.84,199.907,4.48752,788.81,212.362,15.2199
157,0,-154.899,120.076,63.9854,219.148,103.796,14.8364,528.84,199.906,4.49638,788.809,212.361,15.226
158,0,-154.891,120.104,63.9905,219.092,103.732,14.8349,528.841,199.905,4.49635,788.809,212.361,15.2275
159,0,-154.904,120.057,64.0055,219.082,103.791,14.8881,528.815,199.865,4.42258,788.81,212.343,15.1798
160,0,-154.892,120.102,63.9971,219.076,103.793,14.911,528.815,199.866,4.40549,788.811,212.363,15.21
161,0,-154.898,120.078,63.9749,219.075,103.792,14.9117,528.812,199.845,4.37929,788.798,212.374,15.1713
162,0,-154.892,120.104,63.9891,219.078,103.793,14.9041,528.867,199.829,4.30307,788.8,212.377,15.1526
163,0,-154.904,120.057,64.0064,219.073,103.752,14.886,528.82,199.824,4.35818,788.8,212.377,15.1527
164,0,-154.885,120.062,63.9419,219.074,103.75,14.882,528.812,199.843,4.38299,788.801,212.358,15.1102
165,0,-154.903,120.057,63.9933,219.003,103.747,14.9538,528.796,199.83,4.34958,788.803,212.358,15.0956
166,0,-154.886,120.063,63.9437,218.976,103.736,15.0208,528.793,199.855,4.33871,788.802,212.372,15.0498
167,0,-154.891,120.038,63.9107,218.986,103.758,14.9019,528.796,199.833,4.34012,788.803,212.375,15.0353
168,0,-154.917,120.052,63.8347,219.026,103.777,14.7897,528.794,199.853,4.34265,788.803,212.374,15.0379
169,0,-154.951,120.057,63.8302,219.035,103.753,14.7609,528.784,199.871,4.27338,788.728,212.379,15.0598
170,0,-154.97,120.048,63.9052,219.026,103.747,14.7854,528.788,199.851,4.25551,788.724,212.378,15.0699
171,0,-154.969,120.019,63.9166,219.015,103.743,14.8143,528.789,199.848,4.25966,788.711,212.3,15.0657
172,0,-154.923,120.003,63.864,219.01,103.74,14.827,528.768,199.857,4.23176,788.71,212.314,15.042
173,0,-154.939,119.997,63.919,219.011,103.741,14.8257,528.765,199.838,4.19407,788.712,212.301,15.056
174,0,-154.955,120.005,63.8773,219.013,103.742,14.8197,528.757,199.854,4.12,788.7,212.325,14.9626
175,0,-154.981,119.973,63.9139,219.007,103.701,14.8038,528.745,199.821,4.12959,788.703,212.331,14.9256
176,0,-154.93,119.975,63.8505,219.008,103.698,14.8009,528.743,199.817,4.14371,788.703,212.33,14.9289
177,0,-154.946,119.97,63.8996,219.008,103.699,14.8017,528.722,199.805,4.08228,788.702,212.329,14.937
178,0,-154.933,119.928,63.8753,219.007,103.699,14.8031,528.793,199.806,4.02647,788.701,212.346,14.9146
179,0,-154.951,119.92,63.9317,219.014,103.741,14.8156,528.798,199.808,4.01721,788.764,212.369,14.783
180,0,-154.959,119.893,63.9297,219.014,103.743,14.8177,528.796,199.807,4.02294,788.772,212.376,14.736
181,0,-154.94,119.9,63.8556,219.014,103.742,14.8176,528.795,199.806,4.02585,788.708,212.349,14.7704
182,0,-154.99,119.897,63.9159,218.943,103.738,14.8885,528.796,199.806,4.02472,788.755,212.366,14.7376
183,0,-154.974,119.902,63.8692,218.988,103.732,14.8818,528.748,199.819,4.12608,788.714,212.404,14.7711
184,0,-154.998,119.871,63.9039,219.008,103.739,14.8353,528.741,199.816,4.15494,788.692,212.361,14.8083
185,0,-154.999,119.868,63.9176,218.947,103.74,14.8767,528.756,199.853,4.12413,788.691,212.357,14.8189
186,0,-154.999,119.869,63.9164,218.994,103.734,14.8658,528.739,199.865,4.07817,788.692,212.359,14.8132
187,0,-155.003,119.821,63.9379,219.011,103.74,14.8274,528.739,199.866,4.07116,788.703,212.346,14.8678
188,0,-155.003,119.818,63.9438,218.947,103.74,14.8768,528.76,199.878,4.13758,788.691,212.356,14.8315
189,0,-155.003,119.819,63.9422,218.985,103.692,14.8574,528.686,199.856,4.16464,788.693,212.359,14.8084
190,0,-154.979,119.848,63.8441,218.932,103.692,14.8874,528.682,199.855,4.16663,788.709,212.418,14.7621
191,0,-154.996,119.844,63.8898,218.914,103.686,14.9286,528.684,199.856,4.16226,788.694,212.381,14.7654
192,0,-154.974,119.902,63.8654,218.98,103.688,14.8738,528.684,199.856,4.16066,788.692,212.377,14.779
193,0,-154.998,119.871,63.9053,219.008,103.699,14.8049,528.684,199.856,4.16084,788.708,212.418,14.7632
194,0,-154.974,119.902,63.8665,219.017,103.704,14.7767,528.726,199.879,4.02061,788.71,212.422,14.7528
195,0,-154.972,119.905,63.8526,219.015,103.703,14.7822,528.723,199.879,4.01815,788.683,212.392,14.7161
196,0,-154.968,119.925,63.8251,219.009,103.7,14.7973,528.71,199.892,3.96748,788.699,212.434,14.6892
197,0,-154.969,119.953,63.8261,219.006,103.699,14.8071,528.73,199.885,3.98723,788.685,212.39,14.6061
198,0,-154.962,119.98,63.8452,219.006,103.7,14.8091,528.727,199.862,3.96853,788.686,212.391,14.5854
199,0,-154.981,119.973,63.917,219.007,103.7,14.8066,528.699,199.854,3.98395,788.687,212.373,14.6158
200,0,-154.956,120.004,63.8793,219.007,103.699,14.8036,528.745,199.841,3.88995,788.685,212.371,14.6313
201,0,-154.922,120.005,63.854,219.086,103.747,14.7433,528.77,199.836,3.89434,788.687,212.352,14.5845
202,0,-154.936,120.045,63.8971,219.095,103.734,14.82,528.759,199.85,3.83915,788.739,212.406,14.4344
203,0,-154.918,120.052,63.8405,219.082,103.744,14.7634,528.741,199.861,3.79193,788.747,212.416,14.3825
204,0,-154.929,120.073,63.9083,219.085,103.729,14.8412,528.74,199.862,3.78699,788.745,212.414,14.3938
205,0,-154.931,120.071,63.9292,219.132,103.721,14.8414,528.738,199.84,3.76074,788.744,212.412,14.4077
206,0,-154.886,120.064,63.9333,219.084,103.764,14.8881,528.755,199.897,3.76051,788.743,212.411,14.4108
207,0,-154.879,120.085,63.9028,219.144,103.797,14.8443,528.754,199.9,3.76183,788.76,212.453,14.3906
208,0,-154.879,120.086,63.8952,219.172,103.808,14.7781,528.758,199.919,3.79243,788.698,212.449,14.4545
209,0,-154.879,120.086,63.8971,219.165,103.785,14.8879,528.75,199.964,3.74366,788.692,212.444,14.4853
210,0,-154.846,120.083,63.8892,219.191,103.729,14.9102,528.749,199.991,3.72536,788.692,212.461,14.4586
211,0,-154.85,120.062,63.9164,219.201,103.73,14.8856,528.74,200.007,3.65803,788.693,212.464,14.4424
212,0,-154.851,120.061,63.9241,219.21,103.736,14.8589,528.741,200.009,3.64294,788.682,212.496,14.4319
213,0,-154.825,120.047,63.9975,219.214,103.738,14.8476,528.741,200.008,3.64786,788.681,212.497,14.4301
214,0,-154.792,120.042,64.0037,219.206,103.695,14.8373,528.741,200.008,3.65124,788.697,212.552,14.366
215,0,-154.797,120.016,63.9802,219.204,103.692,14.841,528.722,200.016,3.6194,788.7,212.558,14.3398
216,0,-154.799,120.017,63.9754,219.195,103.661,14.8604,528.712,200.034,3.5423,788.689,212.569,14.2867
217,0,-154.78,120.024,63.9089,219.205,103.682,14.7383,528.714,200.037,3.5257,788.69,212.571,14.2728
218,0,-154.782,119.978,63.9176,219.239,103.7,14.6413,528.714,200.036,3.5315,788.69,212.571,14.2771
219,0,-154.783,119.975,63.9282,219.181,103.701,14.6806,528.713,200.035,3.53535,788.688,212.583,14.2343
