Trajectories
200
,,,,,,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
147,0,762.512,304.303,-105.4,504.484,241.062,-57.8085,177.453,78.2661,28.8733,-92.6482,81.9728,26.2437
148,0,762.647,304.059,-105.23,504.487,240.914,-57.6763,177.471,78.2359,28.8722,-92.648,81.9718,26.2427
149,0,762.727,303.834,-104.915,504.57,240.77,-57.6138,177.506,78.2402,28.8037,-92.673,81.985,26.1686
150,0,762.859,303.59,-104.725,504.664,240.656,-57.556,177.498,78.1646,28.7858,-92.6807,81.9615,26.139
151,0,762.919,303.341,-104.467,504.666,240.483,-57.4559,177.525,78.14,28.702,-92.685,81.9359,26.166
152,0,763.053,303.118,-104.304,504.749,240.339,-57.4034,177.541,78.0619,28.6928,-92.6852,81.9344,26.1759
153,0,763.149,302.861,-103.937,504.821,240.217,-57.3726,177.53,78.0353,28.7334,-92.6931,81.9101,26.1606
154,0,763.276,302.653,-103.7,504.873,240.055,-57.3563,177.563,77.9824,28.6452,-92.7242,81.8858,26.1508
155,0,763.355,302.427,-103.496,504.93,239.943,-57.4303,177.552,77.9356,28.6253,-92.7619,81.8483,26.0884
156,0,763.43,302.177,-103.267,504.96,239.788,-57.2929,177.583,77.8827,28.5346,-92.7623,81.8486,26.0759
157,0,763.566,301.978,-103.079,505.004,239.616,-57.2265,177.576,77.8047,28.514,-92.7931,81.8255,26.0741
158,0,763.647,301.713,-102.786,505.049,239.449,-57.273,177.58,77.7545,28.5437,-92.8058,81.7746,26.0876
159,0,763.68,301.449,-102.509,505.054,239.302,-57.1674,177.605,77.6777,28.4843,-92.8381,81.7341,25.9957
160,0,763.75,301.216,-102.274,505.114,239.171,-57.1373,177.579,77.6685,28.3749,-92.8422,81.7108,26
161,0,763.809,301.021,-102.176,505.161,239.051,-57.167,177.567,77.5943,28.3556,-92.9292,81.6693,25.9905
162,0,763.949,300.755,-101.954,505.171,238.912,-57.1691,177.592,77.5144,28.2963,-92.9442,81.6188,26.0012
163,0,764.01,300.515,-101.75,505.221,238.747,-57.1487,177.589,77.4888,28.2615,-92.9498,81.5652,25.9829
164,0,764.081,300.303,-101.599,505.223,238.597,-57.0149,177.555,77.4274,28.1924,-93.0103,81.5556,25.9324
165,0,764.14,300.015,-101.363,505.275,238.482,-57.0555,177.536,77.381,28.1898,-93.051,81.5084,25.9028
166,0,764.198,299.752,-101.195,505.281,238.314,-56.9913,177.57,77.3267,28.1001,-93.0882,81.4441,25.8333
167,0,764.241,299.496,-101.014,505.298,238.178,-57.0156,177.504,77.2475,28.1349,-93.1276,81.4212,25.8092
168,0,764.315,299.246,-100.784,505.316,238.044,-56.9581,177.457,77.2139,28.0973,-93.1873,81.3529,25.8149
169,0,764.354,298.985,-100.639,505.314,237.867,-56.8433,177.464,77.184,28.0755,-93.2282,81.3279,25.808
170,0,764.415,298.773,-100.485,505.352,237.715,-56.8707,177.403,77.1539,28.0011,-93.2973,81.2945,25.7454
171,0,764.476,298.56,-100.382,505.375,237.586,-56.7833,177.424,77.0808,27.9188,-93.3629,81.2593,25.6383
172,0,764.519,298.326,-100.282,505.414,237.437,-56.8093,177.388,77.0496,27.9536,-93.3979,81.1798,25.6997
173,0,764.561,298.069,-100.164,505.408,237.312,-56.7893,177.326,76.9886,27.8938,-93.4551,81.19,25.6549
174,0,764.559,297.801,-99.9453,505.376,237.191,-56.7577,177.305,77.0028,27.8052,-93.5243,81.1332,25.5688
175,0,764.593,297.538,-99.7897,505.404,237.058,-56.7125,177.27,76.9311,27.7789,-93.5876,81.1053,25.617
176,0,764.637,297.263,-99.6015,505.375,236.891,-56.7074,177.224,76.944,27.704,-93.6535,81.0673,25.5437
177,0,764.612,296.99,-99.3818,505.44,236.788,-56.6833,177.181,76.9207,27.7349,-93.6901,81.031,25.4593
178,0,764.646,296.73,-99.1758,505.412,236.644,-56.6916,177.132,76.9351,27.6722,-93.7693,81.0422,25.4498
179,0,764.708,296.493,-99.1032,505.418,236.548,-56.6577,177.096,76.8634,27.6422,-93.8112,80.994,25.4372
180,0,764.756,296.242,-99.0122,505.386,236.403,-56.6585,177.04,76.8704,27.6424,-93.8792,80.9577,25.3762
181,0,764.819,296.006,-98.9507,505.378,236.3,-56.5916,176.987,76.8782,27.6246,-93.9602,80.9695,25.3652
182,0,764.862,295.792,-98.926,505.37,236.168,-56.515,176.93,76.8898,27.6189,-94.0262,80.9602,25.2845
183,0,764.844,295.606,-98.826,505.352,236.101,-56.5115,176.875,76.8838,27.5169,-94.0852,80.909,25.3603
184,0,764.901,295.393,-98.7162,505.36,236.009,-56.4878,176.852,76.8878,27.4812,-94.1434,80.92,25.3155
185,0,764.931,295.151,-98.6428,505.344,235.899,-56.5138,176.771,76.9015,27.472,-94.2353,80.8844,25.3091
186,0,764.991,294.959,-98.565,505.337,235.8,-56.4509,176.721,76.9198,27.3944,-94.302,80.8467,25.2197
187,0,765.042,294.743,-98.5619,505.341,235.722,-56.4051,176.662,76.921,27.4334,-94.3337,80.8505,25.2026
188,0,765.087,294.512,-98.4806,505.328,235.664,-56.3713,176.577,76.9331,27.4419,-94.3898,80.8342,25.193
189,0,765.132,294.312,-98.4234,505.312,235.582,-56.3692,176.528,76.9517,27.3589,-94.4514,80.7977,25.1399
190,0,765.177,294.06,-98.3174,505.327,235.49,-56.2755,176.45,76.9677,27.3233,-94.5068,80.7959,25.2053
191,0,765.237,293.844,-98.2103,505.31,235.403,-56.2514,176.421,76.9712,27.3153,-94.5729,80.7849,25.1393
192,0,765.283,293.667,-98.1769,505.367,235.32,-56.301,176.376,76.9879,27.2359,-94.5773,80.7359,25.1363
193,0,765.332,293.495,-98.1642,505.366,235.223,-56.2512,176.296,77.004,27.2044,-94.6405,80.7234,25.0569
194,0,765.332,293.275,-98.0052,505.369,235.145,-56.202,176.26,76.9835,27.175,-94.722,80.7368,25.0402
195,0,765.382,293.097,-97.8457,505.369,235.122,-56.187,176.205,76.9932,27.17,-94.7673,80.6639,25.0521
196,0,765.442,292.906,-97.7518,505.363,235.027,-56.1208,176.192,77.0151,27.0226,-94.8,80.6478,24.9695
197,0,765.489,292.75,-97.7985,505.367,234.947,-56.0779,176.137,77.0177,27.0423,-94.7996,80.6242,24.9413
198,0,765.558,292.548,-97.7496,505.384,234.836,-55.9719,176.111,77.0301,27.0005,-94.8423,80.5761,24.9587
199,0,765.621,292.433,-97.6895,505.431,234.84,-56.0254,176.08,77.0107,26.9509,-94.8441,80.5741,24.967
200,0,765.682,292.246,-97.6138,505.453,234.758,-55.96,176.059,77.0247,26.8737,-94.8762,80.5625,24.8774
201,0,765.727,292.089,-97.5397,505.484,234.68,-56.0156,176.026,77.006,26.8787,-94.8803,80.5133,24.8754
202,0,765.787,291.9,-97.4601,505.511,234.625,-56.0282,176.033,77.0275,26.8613,-94.8649,80.4898,24.7979
203,0,765.865,291.773,-97.3611,505.518,234.551,-55.9984,176.013,76.9893,26.7548,-94.875,80.4153,24.785
204,0,765.911,291.62,-97.2884,505.583,234.449,-55.9603,176.021,77.0128,26.7531,-94.8757,80.4123,24.7923
205,0,765.989,291.495,-97.1947,505.585,234.445,-55.9559,175.996,77.0169,26.7544,-94.8871,80.3373,24.7993
206,0,766.034,291.341,-97.1224,505.62,234.377,-56.0417,176.021,76.9974,26.667,-94.8873,80.3343,24.8018
207,0,766.098,291.23,-97.0777,505.656,234.35,-55.9595,176.037,77.0334,26.6061,-94.8441,80.2614,24.7295
208,0,766.099,291.111,-96.9605,505.686,234.295,-56.0141,176.073,77.0397,26.5317,-94.8493,80.2346,24.6996
