Trajectories
200
,,,,,,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
70,0,-111.108,70.2501,34.3293,192.668,42.1186,41.5018,499.366,149.458,-18.1653,740.972,188,-31.0052
71,0,-111.108,70.2508,34.3331,192.669,42.116,41.5207,499.362,149.436,-18.1907,740.973,188.002,-31.0104
72,0,-111.131,70.2467,34.4058,192.672,42.0872,41.5075,499.366,149.459,-18.1734,740.974,187.985,-30.9929
73,0,-111.159,70.272,34.397,192.669,42.1157,41.5111,499.362,149.437,-18.1959,740.972,188,-31.0025
74,0,-111.183,70.2708,34.4593,192.672,42.0883,41.5043,499.351,149.402,-18.1782,740.973,188.002,-31.0088
75,0,-111.218,70.2462,34.5065,192.597,42.0391,41.568,499.299,149.394,-18.095,740.911,187.994,-30.9339
76,0,-111.237,70.3079,34.4579,192.613,42.0361,41.6001,499.295,149.392,-18.074,740.89,188.01,-30.8985
77,0,-111.268,70.2583,34.4892,192.594,42.0375,41.585,499.296,149.393,-18.0802,740.905,187.992,-30.9062
78,0,-111.299,70.2557,34.5068,192.593,42.0384,41.5781,499.297,149.394,-18.0849,740.908,187.992,-30.9143
79,0,-111.3,70.2572,34.5091,192.593,42.0384,41.578,499.297,149.394,-18.0853,740.894,187.988,-30.9475
80,0,-111.3,70.2573,34.5075,192.556,42.0382,41.6495,499.259,149.422,-18.0357,740.894,188.005,-30.9739
81,0,-111.3,70.2574,34.5069,192.536,41.9895,41.676,499.223,149.396,-18.0286,740.892,188.044,-30.999
82,0,-111.3,70.2573,34.5069,192.541,41.9574,41.6658,499.212,149.408,-18.1003,740.893,188.023,-31.0437
83,0,-111.3,70.2573,34.507,192.542,41.9572,41.66,499.215,149.412,-18.1217,740.88,188.034,-31.1027
84,0,-111.329,70.2587,34.5081,192.519,41.9593,41.646,499.215,149.411,-18.118,740.881,188.037,-31.1139
85,0,-111.326,70.2697,34.4306,192.518,41.9598,41.6438,499.194,149.419,-18.1456,740.819,188.028,-31.0306
86,0,-111.333,70.2359,34.5188,192.51,41.9393,41.626,499.143,149.414,-18.0787,740.812,188.024,-31.0029
87,0,-111.356,70.2692,34.4452,192.483,41.9235,41.5801,499.135,149.389,-18.0847,740.814,188.025,-31.0057
88,0,-111.388,70.2464,34.4781,192.483,41.9241,41.5718,499.138,149.389,-18.0951,740.813,188.04,-31.0719
89,0,-111.393,70.1921,34.5144,192.483,41.9241,41.5749,499.118,149.398,-18.129,740.803,188.041,-31.0814
90,0,-111.369,70.1932,34.4464,192.487,41.8948,41.5681,499.108,149.413,-18.2055,740.816,188.093,-31.1557
91,0,-111.367,70.196,34.4263,192.479,41.8727,41.5449,499.109,149.416,-18.2218,740.82,188.098,-31.1795
92,0,-111.368,70.1958,34.4295,192.478,41.8731,41.5431,499.059,149.409,-18.142,740.743,188.101,-31.145
93,0,-111.346,70.1697,34.4165,192.479,41.8724,41.5452,499.053,149.406,-18.1164,740.737,188.099,-31.1271
94,0,-111.321,70.1714,34.3383,192.434,41.8455,41.6436,499.056,149.383,-18.1205,740.739,188.099,-31.1282
95,0,-111.321,70.1739,34.3239,192.429,41.8429,41.6687,499.025,149.428,-18.2253,740.738,188.115,-31.1922
96,0,-111.292,70.1719,34.3264,192.431,41.8437,41.6622,499.028,149.411,-18.2536,740.726,188.13,-31.2633
97,0,-111.29,70.1714,34.3285,192.431,41.8441,41.6575,499.006,149.439,-18.2781,740.663,188.163,-31.1755
98,0,-111.291,70.1448,34.3197,192.452,41.8311,41.7264,499.005,149.441,-18.2814,740.657,188.12,-31.1573
99,0,-111.293,70.1188,34.3445,192.452,41.829,41.7433,499.006,149.44,-18.2789,740.657,188.158,-31.1428
100,0,-111.29,70.1424,34.3227,192.46,41.85,41.7581,498.996,149.454,-18.3467,740.657,188.152,-31.2444
101,0,-111.279,70.0989,34.2566,192.512,41.8295,41.6832,498.977,149.465,-18.397,740.648,188.151,-31.3091
102,0,-111.221,70.0834,34.3168,192.485,41.8569,41.706,498.997,149.458,-18.3697,740.647,188.175,-31.2727
103,0,-111.219,70.0814,34.3373,192.532,41.8174,41.7472,498.977,149.463,-18.3875,740.645,188.166,-31.311
104,0,-111.197,70.0853,34.2619,192.535,41.8143,41.7512,498.987,149.5,-18.4236,740.648,188.151,-31.3094
105,0,-111.166,70.0853,34.2394,192.557,41.8146,41.761,498.977,149.468,-18.4078,740.647,188.15,-31.3049
106,0,-111.165,70.0848,34.2427,192.559,41.8135,41.7651,498.989,149.498,-18.4191,740.646,188.166,-31.3223
107,0,-111.142,70.0878,34.1728,192.578,41.8005,41.8345,498.998,149.459,-18.3689,740.648,188.151,-31.3081
108,0,-111.111,70.0875,34.1535,192.601,41.7976,41.8641,499.016,149.482,-18.5267,740.646,188.166,-31.3187
109,0,-111.109,70.0865,34.1548,192.643,41.7683,41.7832,499.043,149.482,-18.5466,740.709,188.159,-31.3846
110,0,-111.092,70.0498,34.2192,192.644,41.7975,41.7685,499.042,149.479,-18.5306,740.716,188.137,-31.4477
111,0,-111.095,69.9955,34.2534,192.658,41.7307,41.8595,499.049,149.491,-18.5776,740.701,188.173,-31.4658
112,0,-111.042,69.9955,34.1784,192.672,41.7027,41.879,499.054,149.516,-18.5673,740.713,188.154,-31.513
113,0,-111.035,70.023,34.1283,192.719,41.7242,41.8205,499.018,149.466,-18.5907,740.715,188.177,-31.4839
114,0,-111.014,69.9872,34.2281,192.738,41.7041,41.8001,499.091,149.484,-18.6089,740.712,188.176,-31.466
115,0,-110.96,69.984,34.1805,192.737,41.7024,41.8029,499.105,149.499,-18.669,740.713,188.152,-31.505
116,0,-110.958,69.9863,34.1581,192.779,41.6895,41.8864,499.105,149.501,-18.6823,740.701,188.165,-31.5719
117,0,-110.902,69.9722,34.2302,192.78,41.6863,41.9081,499.084,149.508,-18.7085,740.702,188.168,-31.5869
118,0,-110.9,69.9696,34.2488,192.82,41.6584,41.8218,499.083,149.509,-18.7133,740.702,188.167,-31.5812
119,0,-110.871,69.9681,34.2418,192.861,41.6165,41.9079,499.084,149.508,-18.7113,740.701,188.166,-31.5747
120,0,-110.82,69.959,34.239,192.86,41.6127,41.939,499.122,149.48,-18.7596,740.701,188.166,-31.5739
121,0,-110.789,69.957,34.2364,192.851,41.5927,41.9201,499.116,149.494,-18.8421,740.701,188.167,-31.5747
122,0,-110.797,69.9331,34.2233,192.889,41.5927,41.8416,499.114,149.452,-18.887,740.701,188.167,-31.5747
123,0,-110.732,69.9418,34.3053,192.929,41.5526,41.9312,499.114,149.45,-18.8864,740.7,188.181,-31.6378
124,0,-110.718,69.8678,34.2553,192.927,41.5482,41.9622,499.114,149.45,-18.8809,740.702,188.184,-31.6553
125,0,-110.664,69.868,34.1604,192.921,41.4999,41.9319,499.083,149.472,-18.9836,740.686,188.144,-31.6354
126,0,-110.662,69.8711,34.1439,192.983,41.4972,41.8648,499.115,149.454,-18.9076,740.669,188.153,-31.6727
127,0,-110.584,69.8597,34.149,192.988,41.4986,41.8505,499.15,149.446,-19.05,740.672,188.133,-31.727
128,0,-110.581,69.8585,34.1518,193.009,41.4974,41.8692,499.157,149.452,-19.0957,740.674,188.133,-31.7374
129,0,-110.529,69.8343,34.0672,193.029,41.4837,41.9445,499.156,149.451,-19.0888,740.673,188.133,-31.7327
130,0,-110.447,69.8239,34.0464,193.051,41.4339,41.8974,499.141,149.371,-19.0847,740.672,188.131,-31.7718
131,0,-110.422,69.7968,34.0347,193.077,41.4317,41.8914,499.181,149.386,-19.2243,740.673,188.132,-31.787
132,0,-110.4,69.7994,33.9616,193.081,41.4031,41.8863,499.167,149.402,-19.2975,740.675,188.109,-31.8241
133,0,-110.322,69.7649,33.97,193.141,41.4008,41.8294,499.165,149.402,-19.2976,740.676,188.109,-31.8324
134,0,-110.289,69.7344,33.9693,193.166,41.3889,41.8842,499.185,149.393,-19.2563,740.659,188.07,-31.8115
135,0,-110.245,69.7113,33.8811,193.164,41.3863,41.907,499.211,149.382,-19.3804,740.642,188.08,-31.852
136,0,-110.216,69.6998,33.9341,193.18,41.3581,41.9441,499.22,149.41,-19.3904,740.657,188.085,-31.8781
137,0,-110.186,69.6958,33.9527,193.218,41.3564,41.8795,499.215,149.387,-19.4064,740.644,188.098,-31.9319
138,0,-110.106,69.6849,33.9491,193.271,41.3718,41.915,499.215,149.385,-19.4078,740.645,188.099,-31.9443
139,0,-110.106,69.6593,33.9737,193.271,41.3712,41.9302,499.206,149.399,-19.475,740.662,188.114,-31.9985
140,0,-110.078,69.6304,33.9693,193.287,41.3418,41.9709,499.206,149.402,-19.4939,740.648,188.078,-31.9956
141,0,-110.027,69.6207,33.9645,193.307,41.3268,42.0483,499.206,149.402,-19.4899,740.647,188.149,-32.0155
142,0,-109.994,69.6186,33.9607,193.344,41.3261,41.9908,499.206,149.401,-19.4862,740.664,188.118,-32.0126
143,0,-109.972,69.5922,33.9444,193.371,41.3263,41.9809,499.256,149.407,-19.5601,740.65,188.127,-32.0601
144,0,-109.946,69.5536,34.0058,193.377,41.3538,41.9584,499.231,149.432,-19.6828,740.65,188.153,-32.0321
145,0,-109.927,69.4991,34.0359,193.414,41.3136,42.0637,499.231,149.435,-19.7051,740.631,188.105,-32.1024
146,0,-109.925,69.4972,34.0343,193.414,41.3085,42.0918,499.23,149.434,-19.6947,740.633,188.105,-32.1253
147,0,-109.877,69.4636,34.023,193.451,41.3101,42.0153,499.23,149.433,-19.6888,740.619,188.118,-32.1708
148,0,-109.852,69.4357,34.0047,193.499,41.2962,42.0758,499.228,149.388,-19.7175,740.62,188.119,-32.1816
149,0,-109.855,69.4102,34.0282,193.498,41.2947,42.099,499.268,149.429,-19.868,740.634,188.106,-32.1275
150,0,-109.864,69.3848,34.0229,193.505,41.3159,42.1165,499.277,149.459,-19.879,740.619,188.1,-32.1442
151,0,-109.807,69.3441,34.0823,193.519,41.295,42.1124,499.275,149.457,-19.8617,740.618,188.118,-32.1725
152,0,-109.816,69.2917,34.1095,193.558,41.2936,42.0388,499.253,149.464,-19.8865,740.619,188.111,-32.2806
153,0,-109.818,69.2906,34.1098,193.562,41.2949,42.0208,499.265,149.5,-19.9198,740.622,188.136,-32.2689
154,0,-109.818,69.2657,34.0977,193.603,41.2808,42.1087,499.267,149.502,-19.9271,740.636,188.175,-32.2679
155,0,-109.826,69.2406,34.0823,193.61,41.3059,42.1045,499.267,149.501,-19.9206,740.638,188.161,-32.2487
156,0,-109.826,69.2408,34.0809,193.611,41.3078,42.0952,499.302,149.571,-19.8803,740.637,188.158,-32.2415
157,0,-109.799,69.2136,34.1049,193.604,41.2794,42.1206,499.279,149.559,-19.9337,740.622,188.171,-32.294
158,0,-109.828,69.2136,34.1138,193.583,41.2903,42.0592,499.257,149.517,-20.0007,740.623,188.189,-32.3324
159,0,-109.838,69.1903,34.1002,193.587,41.2646,42.0301,499.207,149.511,-19.936,740.623,188.214,-32.2967
160,0,-109.837,69.1633,34.0879,193.551,41.2147,42.0251,499.203,149.508,-19.9078,740.56,188.182,-32.2423
161,0,-109.837,69.1628,34.0869,193.57,41.2129,42.0426,499.186,149.539,-19.9126,740.539,188.213,-32.2381
162,0,-109.837,69.1896,34.0965,193.55,41.2139,42.035,499.218,149.59,-19.9104,740.571,188.235,-32.3125
163,0,-109.868,69.1923,34.1012,193.548,41.2146,42.0318,499.22,149.591,-19.9079,740.561,188.274,-32.3485
164,0,-109.865,69.2027,34.0243,193.572,41.2132,42.0455,499.199,149.598,-19.9406,740.56,188.275,-32.3479
165,0,-109.894,69.1809,33.9983,193.563,41.1935,42.0273,499.184,149.521,-19.9559,740.558,188.289,-32.3634
166,0,-109.895,69.179,34.0039,193.599,41.1346,41.9696,499.184,149.517,-19.9527,740.558,188.314,-32.3286
167,0,-109.894,69.1789,34.0078,193.602,41.1337,41.9579,499.184,149.518,-19.9512,740.557,188.29,-32.3555
168,0,-109.903,69.1546,33.995,193.6,41.135,41.9618,499.214,149.496,-19.8507,740.559,188.29,-32.3686
169,0,-109.959,69.1683,33.9206,193.57,41.114,41.9342,499.213,149.513,-19.8216,740.56,188.274,-32.3473
170,0,-109.961,69.171,33.9052,193.568,41.1148,41.9282,499.203,149.529,-19.8932,740.559,188.273,-32.3382
171,0,-109.983,69.1669,33.983,193.567,41.116,41.9271,499.216,149.496,-19.851,740.559,188.273,-32.3388
